services,language_code,english,indigenous_language,pronunciation
2,200,Arm,Ginni,Gin-nee
2,200,Beard,Yiga,Yee-gah
2,200,Blood,Dunde,Doon-dee
2,200,Body,Djam,Jarm
2,200,Bone,Deeal,Dee-ahl
2,200,Ear,Binung,Bin-ung
2,200,Elbow,Gooa,Goo-ah
2,200,Eye,Mii,Mee
2,200,Face,Nguar,Noo-ah
2,200,Finger / Fingers,Nalu,Na-loo
2,200,Foot,Dinung,Din-nung
2,200,Hair,Kamee,Kar-mee
2,200,Hand,Maa,Mah
2,200,Head,Mau,Maw
2,200,Knee,Koomar,Koo-mah
2,200,Leg,Bongoo,Boong-oo
2,200,Mouth,Keeam,Key-arm
2,200,Nose,Miia,Mee-ah
2,200,Shoulder,Toolga,Tool-gah
2,200,Stomach,Gumar,Goo-moor
2,200,Teeth,Diyung,Dee-ang
2,200,Throat,Wugung,Woo-gunn
2,200,Tongue,Thallin,Thal-lin
2,263,Arm,gining,
2,263,Belly,boo-loo,
2,263,Blood,gakki,
2,263,Bottom,gundar,
2,263,Chin,yikkal,
2,263,Ears,binang,
2,263,Elbow,gundi,
2,263,Eyes,miil,
2,263,Feet/foot,djinang,
2,263,Fingers,bi,
2,263,Hair,dala,
2,263,Hand,biri,
2,263,Head,gam,
2,263,Hip,ganim,
2,263,Knee,djeemee or burruu,
2,263,Leg,djerang,
2,263,Lip/s,dhambur,
2,263,Liver,gunang,
2,263,Mouth,djang'ga,
2,263,Neck,ganna,
2,263,Nose,mooroo,
2,263,Shoulders,waalil,
2,263,Skin,gubar,
2,263,Teeth,nyiling,
2,263,Thigh,djerang,
2,263,Toes,birri-dhinang,
2,263,Tongue,djunam,
2,279,Ankle,wul,
2,279,Arm,marra,
2,279,Belly,banna,
2,279,Belly button,guana,
2,279,Blood,guma,
2,279,Body,gabal,
2,279,Bone,rillu,
2,279,Bottom,bunthi and mulla,
2,279,Chest,ngamba,
2,279,Chin,anu,
2,279,Ears,binang,
2,279,Elbow,gulgul,
2,279,Eyebrow,dinan,
2,279,Eyes,dili,
2,279,Face,wutha,
2,279,Feet/foot,dina,
2,279,Fingers,balngnan,
2,279,Forehead,yali,
2,279,Hair,manam,
2,279,Hand,malla,
2,279,Head,ngatha,
2,279,Heart,dalgu,
2,279,Hip,yuli,
2,279,Kidney,rindu,
2,279,Knee,bikal,
2,279,Leg,dumu and gal,
2,279,Lip,munu,
2,279,Liver,gipa,
2,279,Mouth,dangga,
2,279,Neck,bimbi,
2,279,Nose,nunta,
2,279,Nostril,yuna,
2,279,Shoulders,nirrgal,
2,279,Skin,nhuman,
2,279,Teeth,yira,
2,279,Thigh,dharha,
2,279,Thumb,murrgin,
2,279,Toes,dalgayu,
2,279,Tongue,dalang,
2,279,Wrist,dandha,
2,252,Arm,Gining,Gin-ing
2,252,Blood,Diyir,Dee-year
2,252,Body,Djam,Jarm
2,252,Bone,Giira,Geer-ah
2,252,Ear,Binung,Bin-ung
2,252,Elbow,Gulumur,Goo-loom-or
2,252,Eye,Miya,Mii-ya
2,252,Face,Nguwar,Noo-wah
2,252,Finger,Bii,Bee
2,252,Foot,Dinung,Din-nung
2,252,Forehead,Yiyim,Yii-im
2,252,Hair,Kabui,Kar-boo-ee
2,252,Hand (left),Wadangir,Wah-dun-ear
2,252,Hand (right),Djunim,Jun-eem
2,252,Head,Maa,Mah
2,252,Knee,Buhn,Boon
2,252,Leg,Djangar,Jar-nah
2,252,Mouth,Dambur,Darm-boor
2,252,Neck,Wanda,Wan-dar
2,252,Nose,Mii,Mee
2,252,Shin/Calf,Buyu,Boo-yoo
2,252,Skin,Bem,Beam
2,252,Shoulder,Walir,Wah-leer
2,252,Stomach,Muu,Moo
2,252,Teeth,Diyeng,Dee-ang
2,265,Ankle,wugul,
2,265,Arm,gini,
2,265,Belly,bulu,
2,265,Belly button,wogoo,
2,265,Blood,dii,
2,265,Bone,daigil,
2,265,Bottom,mundi,
2,265,Chin,yinboo,
2,265,Ears,bina,
2,265,Elbow,goomoo,
2,265,Eyebrow,teeping,
2,265,Eyes,mil,
2,265,Face,gun gun,
2,265,Feet/foot,djina,
2,265,Hair,gubu,
2,265,Hand,biru,
2,265,Head,wurul,
2,265,Heart,dulgu,
2,265,Hip,gaman,
2,265,Knee,bii,
