services,language_code,language_synonym,thesaurus_heading_language,uri
1,1,"Nyungar,Nyaki Nyaki,Nyagi Nyagi,Eastward tribe,Kaikan,Kar Kar,Karkar,Kikkar,Kilkar,Kokan,Kokar,Njagi,Njagi njagi,Njagiman,Njakinjaki,Nyakinyaki,Punuatch,Punwatch,Njagi Njagi",Nyaki Nyaki / Njaki Njaki language A1,https://collection.aiatsis.gov.au/austlang/language/a1
1,2,"Wangkathaa,Maduwongga,Waljen,Wanggaji,Wangkayi,Pindini,Jaa,Jata,Kuru,Kurutjara,Nanu,Nata,Nguludjara,Ngulutjara,Njata",Ngurlu language A10,https://collection.aiatsis.gov.au/austlang/language/a10
1,3,Mardudjara,,https://collection.aiatsis.gov.au/austlang/language/a100
1,4,Nowkadja,,https://collection.aiatsis.gov.au/austlang/language/a101
1,5,"Wangkatha,Bindinini,Pindini,Pintiini,Wangkathaa,Maduwongga,Ngurlu,Waljen,Wanggaji,Wangkayi,Bindunda,Pini,Wangaga,Wanggada,Wonga,Wongai i,Wongaidya,Wongaii,Wonggai,Wonggaii,Wongi,Wonkai,Won gaii",,https://collection.aiatsis.gov.au/austlang/language/a102
1,6,"Wangkatha,Wangkayi",,https://collection.aiatsis.gov.au/austlang/language/a103
1,7,,Pijikala language A104,https://collection.aiatsis.gov.au/austlang/language/a104
1,8,,Nangu language A105,https://collection.aiatsis.gov.au/austlang/language/a105
1,9,,Najanaja language A106,https://collection.aiatsis.gov.au/austlang/language/a106
1,10,,Nawurtu language A107,https://collection.aiatsis.gov.au/austlang/language/a107
1,11,,Nankilakuthu language A108,https://collection.aiatsis.gov.au/austlang/language/a108
1,12,,Martuyitha language A109,https://collection.aiatsis.gov.au/austlang/language/a109
1,13,"Wangkathaa,Maduwongga,Ngurlu,Wanggaji,Wangkayi,Pindini,Koara,Waljwan,Walyen,Waula,wa",Waljen language A11,https://collection.aiatsis.gov.au/austlang/language/a11
1,14,,Marlba language A110,https://collection.aiatsis.gov.au/austlang/language/a110
1,15,,,https://collection.aiatsis.gov.au/austlang/language/a111
1,16,,Ngoonooru language A112,https://collection.aiatsis.gov.au/austlang/language/a112
1,17,,Nhugarn language A71,https://collection.aiatsis.gov.au/austlang/language/a113
1,18,,Ngunuru language A112,https://collection.aiatsis.gov.au/austlang/language/a114
1,19,,Nharnu language A115,https://collection.aiatsis.gov.au/austlang/language/a115
1,20,,Nyiyaparli Padupadu language A116,https://collection.aiatsis.gov.au/austlang/language/a116
1,21,,Banyjima Padupadu A117,https://collection.aiatsis.gov.au/austlang/language/a117
1,22,,Ngarrka language A118,https://collection.aiatsis.gov.au/austlang/language/a118
1,23,,Kurdun language A119,https://collection.aiatsis.gov.au/austlang/language/a119
1,24,"Wangatja,dialect of The Western Desert language,Wangkathaa,Maduwongga,Ngurlu,Waljen,Wanggaji,Wangkayi,Pindini,Bindinini,Bindunda,Pindiini,Pini,Wangaga,Wanggada,Wonga,Wongai i,Wongaidya,Wongaii,Wonggai,Wonggaii,Wongi,Wonkai,Wanggaji/Wanggayi,Wanggayi",Wangkatha language A12,https://collection.aiatsis.gov.au/austlang/language/a12
1,25,,Yirrakalan language A120,https://collection.aiatsis.gov.au/austlang/language/a120
1,26,,Ngardi language A121,https://collection.aiatsis.gov.au/austlang/language/a121
1,27,,Kakutu / Kakurtu language A122,https://collection.aiatsis.gov.au/austlang/language/a122
1,28,,Ngulatu / Ngulartu language A123,https://collection.aiatsis.gov.au/austlang/language/a123
1,29,"Badimaya,Widimaya,Barimaia,Cheangwa,Jaburu,Minango,Minangu,Nanakardi,Nanakari,Nanakati,Nhanhakarti,Opee,Weeree,Wiri,Wirti,Wirtimaya,Witimay,Wirtimay,Wirdimay",Widi language A13,https://collection.aiatsis.gov.au/austlang/language/a13
1,30,"Parti maya,Badimaia,Badimara,Barimaia,Nanakari,Patimara,Patimay,Baadeemaia,Badimala,Bardimaia,Bidungu,Padimaia,Padinaia,Parimaia,Waadal,Wallawe,WardalBadi maia,Yamadgee,Yamaji,Patimaya,Bardimaya,Badimay,Yamadyis,Wardal,Badimia",Badimaya language A14,https://collection.aiatsis.gov.au/austlang/language/a14
1,31,"Goara,Koara,Go:ara,Guwara,Kagara,Kogara,Konindja,Konindjara,Waula",Kuwarra language A16,https://collection.aiatsis.gov.au/austlang/language/a16
1,32,"Ngaanyatjarra,Murunitja,Nangatadjara,Pindini,Tjeraridjal,Wanggatha,Alindjara,Ditu,Dituwonga,Nangandjara,Nangata,Nangatatjara,Nanggaranggu,Nanggatha,Ngaanyatjara,Ngalapita,Ngana,Nganandjara,Njingipalaru,Wangata,Njanganjadjara,Nyanganyadjara,Nagatatjara,Ngalap ita,Nangadadjara ",Nangadadjara / Nyanganyatjara language A17,https://collection.aiatsis.gov.au/austlang/language/a17
1,33,"Majanna,Maldjana,Malleyearra,Meloria,Muliarra,Wadjari,Baialdju,Cheangwa,Iirrawad ari,Irawadjari,Jamadji,Kurduwonga,Kurduwongga,Maliara,Miliara,Miliarra,Pidong,Wadarri,Wadgaree,Wadjeri,Waian wonga,Wajari,Wajeri,Wajjari,Wardal,Yajeri,Yamaidyi",Muliara language A18,https://collection.aiatsis.gov.au/austlang/language/a18
1,34,"Wawula,Madoitja,Wirdinja,Wajari,Wardalj,Tjitijamba,Tjitjijamba,Waula",Wardal language A19,https://collection.aiatsis.gov.au/austlang/language/a19
1,35,"Kalaaku,Kalarko,Ngatjunmay,Galagu/Kalako,Malpa,Galagu,Kalako,Ngadjunmaia,Marlba,Beelia,Beeloo,Derbal,Gala:gu,Ilakuri wongi,Juadjag,Juadjek,Juadjuk,Kalaako,Karakata,Karrakatta,Malba,Minal njunga,Minalnjunga,Minnal Yungar,Mooro,Murram,Njindango,Swan River Tribe,Takalako,Wadjug,Wadjuk,Wadjup,Wajuk,Whadjuk,Whajook,Witja:ri,Witjari,Yooadda,Yooard,Yoongar,Yuard,Yuatjek,Yungar,Yungur,Galaagu,West Mirniny",Kalarku language A2,https://collection.aiatsis.gov.au/austlang/language/a2
1,36,Wiijara,Wilyara language A20,https://collection.aiatsis.gov.au/austlang/language/a20
1,37,Go:la,Gula language A21,https://collection.aiatsis.gov.au/austlang/language/a21
1,38,,Marawa language A22,https://collection.aiatsis.gov.au/austlang/language/a22
1,39,"Mandjindja,Kalgonei,Kalgoneidjara,Mandjindjara,Mandjindji,Mandjindjiwongga,Mandshindshi,Man gula,Mangundjara,Manjinjiwonga,Mantjila,Nanggar angku",Mangula language A23,https://collection.aiatsis.gov.au/austlang/language/a23
1,40,"Kurduwonga,Kurduwongga,Wadjari,Baialdju,Cheangwa,Iirrawad ari,Irawadjari,Jamadji,Maliara,Miliara,Miliarra,Pidong,Wadarri,Wadgaree,Wadjeri,Waian wonga,Wajari,Wajeri,Wajjari,Wardal,Yajeri,Yamaidyi",Gurduwanga language A24,https://collection.aiatsis.gov.au/austlang/language/a24
1,41,"Pini,Nana,Badu,Bandjanu,Banjanu,Barduwonga,Bawndudjara,Bini,Biniridjara,Birni,Budidjara,Bududjara,Buranudjara,Buurdidyara,Jabura,Kaltalbudara,Kaltalbudjara,Kaltalbudjira,Madutjara,Nangaritjara,Ngondidjara,Pandjanu,Pardu,Partutu,Partutudjara,Piniiri,Piniridjara,Pirniritjara,Poroko,Potidjara,Potitjara,Puditjarra,Purditara,Putitjara,Tjubun,Tutudjara,Wordako",Birniridjara language A25,https://collection.aiatsis.gov.au/austlang/language/a25
1,42,"Tjalkanti,Tjalkadjara,Barduwonga,Djalgadjara,Barduwanga,Talkumara,Tjalkandjara,Tjalkakari,Wordako,Tjalkani,Djalgani,Tjalgandi,Erlistoun tribe,Dituwonga",Djalgandi language A26,https://collection.aiatsis.gov.au/austlang/language/a26
1,43,,Mudalga language A27,https://collection.aiatsis.gov.au/austlang/language/a27
1,44,,Bunggura language A28,https://collection.aiatsis.gov.au/austlang/language/a28
1,45,"Madoitja,Wardal,Wirdinja,Ngaiu,Ngayuwanga,Waula,Wawlwulu,Ngaiuwonga,Wawulja,Tjitijamba,Tjitjijamba,Waula for Wardal,Marduidji,Milamada,Wainawonga,Konin,Waula for Madoitja",Wawula language A29,https://collection.aiatsis.gov.au/austlang/language/a29
1,46,"Ngatjumaya,Ngadjunmaya,Ngatjunmay,Galagu,Kalako,Ngadjunmaia,Ba:donjunga,Badonjunga,Bardojunga,Bardok,Buljigu,Fraser Range tribe,Malba,Marlba,Marlpa,Minninng,Ngadjumaja,Ngadjunma,Ngadjunpakara,Ngadjunpukara,Ngadyunma,Ngatju,Ngatjumay,Ngatjunmaya,Norseman,Pardoak,Tchaakalaaga,Wangka malpa,West Meening,West Mining,Ngadyumaya,Ngadjunma/Marlba,Wangka Malpa,Ngadju:",Ngadjumaya / Ngadju language A3,https://collection.aiatsis.gov.au/austlang/language/a3
1,47,"Ngaiawongga,alternative for Tjupany,Madoitja,Ngadawongga,Ngadhawonga,Ngarawonga,Bidungu/Ngayawanga/Ngadawanga,Ngajawonga,Ngaiu wonga,Ngarga wonga,Maliar:a,Wallawe,Waula,Pidungu,Madutjara",Ngadawanga language A30,https://collection.aiatsis.gov.au/austlang/language/a30
1,48,"Tjupany,Madoitja,Tjubanba",Tjupan language A31,https://collection.aiatsis.gov.au/austlang/language/a31
1,49,"Nakaku,Nangako,Nangakopitja,Wanudjara",Nakako language A32,https://collection.aiatsis.gov.au/austlang/language/a32
1,50,Manyjilyjarra,Mangu language A34,https://collection.aiatsis.gov.au/austlang/language/a34
1,51,"Gonin,Madoitja,Marduidji,Milamada,Wainawonga,Waula",,https://collection.aiatsis.gov.au/austlang/language/a35
1,52,"Madoitja,Konin,Marduidji,Wainawonga,Waula",,https://collection.aiatsis.gov.au/austlang/language/a36
1,53,"Nana,Pini,I:nabadanggural,Kalgo nei,Kalgoneidjara,Kalguni,Nangand jara,Nangaridjara,Ngan:adjara,Nganadjara,Jumudjara,Ngatari,Nona",Nanadjara language A37,https://collection.aiatsis.gov.au/austlang/language/a37
1,54,"Ngaanjatjarra,Nana,I:nabadanggural,Jumudjara,Kalgonei,Kalgoneidjara,Kalguni,Kuwaratjara,Nangandjara,Nangaridjara,Ngaanjadjara,Ngan:adjara,Ngana,Nganadjara,Ngatari,Nona,Warburton Ranges,Ngadadjara,Ngaanyatjara,Warburton Ranges Dialect,Jabungadja,Ku:rara,Nadadjara,Nga:da,Nga:dapitjardi,Ngad adara,Ngadatara,Ngadatjara,Ngadawongga,Ngadjatara,Ngatatara,Ngatatjara,Rumudjara,Teitudjara,Wan:udjara,Warara,Wirtjandja,Witjandja",Ngaanyatjarra language A38,https://collection.aiatsis.gov.au/austlang/language/a38
1,55,"Ngadadjara,Jabungadja,Ku:rara,Nadadjara,Nga:da,Nga:dapitjardi,Ngad adara,Ngadatara,Ngadatjara,Ngadawongga,Ngadjatara,Nganadjara,Ngatatara,Ngatatjara,Rumudjara,Teitudjara,Wan:udjara,Warara,Wirtjandja,Witjandja",,https://collection.aiatsis.gov.au/austlang/language/a38.1
1,56,"Watjarri,Bidungu,Irawadjari,Mulyara,Nokaan,Wadjari,Waiawonga,Baialdju,Batiga,Cheangwa,Dhauerngu,Iirrawadari,Jamadji,Kurduwonga,Kurduwongga,Maliara,Miliara,Miliarra,Pidong,Wadari,Wadarri,Wadgaree,Wadhari,Wadjeri,Wadyari,Waian,Waianwonga,Wajari,Wajeri,Wajjari,Wajjiri,Wanmala,Wardal,Watjari,Wodjeri,Yabbaroo,Yabbooroo,Yajeri,Yamadgee,Yamaidyi,Yamaji,Wadyarri,Witjari,Waian wonga,Iirrawad ari",Wajarri / Wadjarri language A39,https://collection.aiatsis.gov.au/austlang/language/a39
1,57,Wadiwanga,Warriyangga language W22,https://collection.aiatsis.gov.au/austlang/language/a39.1
1,58,"Kaprun,Karlamay,Nyunga,Galamaia,Jabururru,Jawan,Kalamaia,Kelamai,Natingero,Takalako,Watjanmay,Yabro,Galamai,Galamaya,Jaburu,Jungaa,Jungal,Kala:mai,Kaallarmaay,Kalamai,Kalamay,Kalamaya,Njindango,Youngal,Youngar,Yungar,Galamay",Kaalamaya language A4,https://collection.aiatsis.gov.au/austlang/language/a4
1,59,"Bedengo,Pedong,Peedong,Pidunga,Peedona,Pardoo,Palatong,Bidungu,Pidong Bedongo,Bidungo,Pidungu",Birdungu language A40,https://collection.aiatsis.gov.au/austlang/language/a40
1,60,"Wawula,Tjupany,Madoitja,Wardal,Wirdinja,Wainawonga,Marduidji,Milamada,Wainawonga,Konin,Waula",Madoidja language A41,https://collection.aiatsis.gov.au/austlang/language/a41
1,61,"Tjitiyamba,Tjitjijamba,Wardal,Djidjijamba,Waula",,https://collection.aiatsis.gov.au/austlang/language/a42
1,62,"Ngaatjatjarr,Ngaanyatjarra,Ngaadjadjara,Ngatatjara,Ngadadjara,Bidungu,Madutjara,Maliar:a,Nalada,Ngaatjatarra,Ngada,Ngadawangga,Ngadawongga,Ngadhawonga,Ngaiawongga,Ngaiu wonga,Ngajawonga,Ngarawonga,Ngarga,Ngargawonga,Ngayawangga,Nyadadjara,Pidungu,Tekateka,Wallawee,WaulaNgaadadjara,Ngadatjara,Jabungadja,Ku:rara,Nadadjara,Nga:da,Nga:dapitjardi,Ngad adara,Ngadatara,Ngadjatara,Nganadjara,Ngatatara,Rumudjara,Teitudjara,Wan:udjara,Warara,Wirtjandja,Witjandja",Ngaatjatjarra language A43,https://collection.aiatsis.gov.au/austlang/language/a43
1,63,,delete language,https://collection.aiatsis.gov.au/austlang/language/a44
1,64,"Wawula,Wirdinja,Wardal,Jabura,Mardo,Woordinya,Woordunya",Wirdinya language A49,https://collection.aiatsis.gov.au/austlang/language/a49
1,65,Nugara,Nungara language A5,https://collection.aiatsis.gov.au/austlang/language/a5
1,66,"Palyku/Nyiyaparli,Njiyapali,Nijadali,Palyku,Bailgu,Binigura,Niabali,Paljgu,Iabali,Jana,Janari,Njiabadi,Njiabali,Njijabadi,Njijabali,Njijapali,Nyiyabali,Nyiyapali,Njiyabali",Nyiyaparli language A50,https://collection.aiatsis.gov.au/austlang/language/a50
1,67,"Kartutjarra,Martu Wangka,Katutjara,Katudjara,Katatjara,Kardudjara,Gadudjara,Wal mala,Orailku,Ngadari",Kartujarra language A51,https://collection.aiatsis.gov.au/austlang/language/a51
1,68,"Mardu,Giyajarra/Keiadjara,Budijarra,Gardujarra,Giyajarra,Kartudjara,Keiadjara,Mandjildjara,Manyjilyjarra,Potidjara,Wanman,Giadjara,Giyadyara,Giyadjara,Keiatara,Keredjara,Kiadjara,Giad jara,Gijadjara,Targudi,Tjargudi,Djar gudi,Targoodi,Kalgoneidjara,Kalguni",Kiyajarra language A52,https://collection.aiatsis.gov.au/austlang/language/a52
1,69,"Banyjima,Panyjima,Panjtjima,Panytyima,Banjima,Bandjima,Mandanjongo,Papupadu,BanjimaBanyjima,Mandara,Paanjima,Pandima,Pandjima,Panjima,PanyjimaBanydyima",Banyjima language A53,https://collection.aiatsis.gov.au/austlang/language/a53
1,70,"Western Desert Language,Martu Wangka,Pawututjara,Potitjara,Putitjara,Budidjara,Bududjara,Purdi tara,Pawutudjara,Paodudjara,Patudja,Pa tudjara,Partutudjara,Bawndudjara,Partutu,Ngondidjara,Kaltalbudara,Kaltalbudjara,Kaltalbudjira,Poroko,Bardu wonga,Badu,Pardu,Tutudjara",Putijarra language A54,https://collection.aiatsis.gov.au/austlang/language/a54
1,71,"Palyku/Nyiyaparli,Mangguldulkara,Paljarri,Nijadali,Bailgu,Binigura,Niabali,Nyiyaparli,Paljgu,Baialja,Bailgo,Bailju,Bailko,Balgo,Balgoo,Balgu,Baligu,Baljgu,Balju,Boolgoo,Pailgo,Pailgu,Palgu,Palgoe,Pulgo,Pulgoe,Balygu",Palyku language A55,https://collection.aiatsis.gov.au/austlang/language/a55
1,72,Targudi,Dargudi language A56,https://collection.aiatsis.gov.au/austlang/language/a56
1,73,"Pundju,Widagari,Witukari,Gnamo,Ibarga,Ibargo,Ibarrga,Namal,Namarl,Namel,Njalmal,Njamal,Njamarl,Njamat,Nyamarl,Nyamel,Pundju Njamal,Pundu Namal,Tjingkai Njamal,Wanbarda,Weedokarry,Weedookary,Widagaree,Wirdakarri",Nyamal language A58,https://collection.aiatsis.gov.au/austlang/language/a58
1,74,"Nyangumarda,Iparuka,Kundal,Ngolibardu,Ngurlipartu,Nyangumarta,Walyirli,Wanyarli,Ibargo,Ibarrga,Jibarga,Moonyengoota,Powera,Njangamarda,Njangamada,Nyangamada,Nangamada,Nangam urda,Njangomada,Njangumada,Njangumarda,Nangumarda,Nyangumada,Nyangumata,Njadamarda,Njanja marta,Ngapakoreilitja,Ngardungardu,Warmala,I:baruga,Ngapakarna",Ibarga language A59,https://collection.aiatsis.gov.au/austlang/language/a59
1,75,"Martu Wangka,Manjtjiltjara,Martu,Wangka,Mardu,Budijarra,Gardujarra,Giyajarra,Kartudjara,Keiadjara,Mandjildjara,Manyjilyjarra,Potidjara,Wanman,Jindi,Julbaritja,Kabul,Maduwangga,Maduwonga,Mardo,Mardudjara,Yindi,Marduwangga",Maduwongga language A6,https://collection.aiatsis.gov.au/austlang/language/a6
1,76,"Widugari,Nyamal,Widagari/Witukari,Pundju,Witukari,Weedokarry,Weedookarry,Widagaree,Widakari,Wirdagari,Wirdakarri,Wirdugari,Njamal,Nyamel,Namal,Njalmal,Namel,Gnamo,Tjingkai Njamal,Ibarga,Ibarrga,Ibargo,Njamat,Wanbarda,Weedookary,Pundju Njamal,Pundu Namal",Widagari language A60,https://collection.aiatsis.gov.au/austlang/language/a60
